"Ref.","Nombre","","Impuesto","Costo","Precio","Precio + Imp."
"MID AD","Acido Acetil Salicilico 500mg ","","Excento de ","$12.26 ","$25.00 ","$25.00 "
"MID INF","Acido Acetil Salicilico 501mg ","","Excento de ","$13.10 ","$27.00 ","$27.00 "
"ACIDO ","Acido Acetil Salicilico 502mg ","","Excento de ","$20.58 ","$42.00 ","$42.00 "
"AGIN ","Acido Acetil Salicilico 503mg ","","Excento de ","$98.00 ","$140.00 ","$140.00 "
"ANTACS","Acido Acetil Salicilico 504mg ","","Excento de ","$9.10 ","$25.00 ","$25.00 "
"NAMI","Acido Acetil Salicilico 505mg ","","Excento de ","$23.79 ","$40.00 ","$40.00 "
"ARTRID","Acido Acetil Salicilico 506mg ","","Excento de ","$20.79 ","$45.00 ","$45.00 "
"ADVIL ","Acido Acetil Salicilico 507mg ","","Excento de ","$132.90 ","$166.00 ","$166.00 "
"AD MAX","Acido Acetil Salicilico 508mg ","","Excento de ","$80.40 ","$101.00 ","$101.00 "
"MUCI","Acido Acetil Salicilico 509mg ","","Excento de ","$8.02 ","$25.00 ","$25.00 "
"ASP EF","Acido Acetil Salicilico 510mg ","","Excento de ","$34.60 ","$45.00 ","$45.00 "
"PENI ","Acido Acetil Salicilico 511mg ","","Excento de ","$17.16 ","$37.00 ","$37.00 "
"CAMIDE","Acido Acetil Salicilico 512mg ","","Excento de ","$42.21 ","$85.00 ","$85.00 "
"BIO-E","Acido Acetil Salicilico 513mg ","","Excento de ","$111.59 ","$140.00 ","$140.00 "
"BUSC ","Acido Acetil Salicilico 514mg ","","Excento de ","$202.00 ","$250.00 ","$250.00 "
"BRUPA","Acido Acetil Salicilico 515mg ","","Excento de ","$22.18 ","$43.00 ","$43.00 "
"BIOM","Acido Acetil Salicilico 516mg ","","Excento de ","$22.26 ","$62.00 ","$62.00 "
"EXC-S ","Acido Acetil Salicilico 517mg ","","Excento de ","$27.50 ","$45.00 ","$45.00 "
"BUTILH","Acido Acetil Salicilico 518mg ","","Excento de ","$31.82 ","$66.00 ","$66.00 "
"VILA-","Acido Acetil Salicilico 519mg ","","Excento de ","$44.14 ","$90.00 ","$90.00 "
"CAFI","Acido Acetil Salicilico 520mg ","","Excento de ","$3.28 ","$6.00 ","$6.00 "
"CEFLAC","Acido Acetil Salicilico 521mg ","","Excento de ","$78.42 ","$140.00 ","$140.00 "
"LOXINE","Acido Acetil Salicilico 522mg ","","Excento de ","$24.74 ","$48.00 ","$48.00 "
"DOL ","Acido Acetil Salicilico 523mg ","","Excento de ","$57.00 ","$125.00 ","$125.00 "
"SINKEL","Acido Acetil Salicilico 524mg ","","Excento de ","$7.50 ","$20.00 ","$20.00 "
"VOLF ","Acido Acetil Salicilico 525mg ","","Excento de ","$15.28 ","$40.00 ","$40.00 "
"MAF ","Acido Acetil Salicilico 526mg ","","Excento de ","$20.04 ","$40.00 ","$40.00 "
"DIC","Acido Acetil Salicilico 527mg ","","Excento de ","$12.53 ","$25.00 ","$25.00 "
"NEDICL","Acido Acetil Salicilico 528mg ","","Excento de ","$11.55 ","$25.00 ","$25.00 "
"ATALAK","Acido Acetil Salicilico 529mg ","","Excento de ","$20.16 ","$35.00 ","$35.00 "
"VOLF G","Acido Acetil Salicilico 530mg ","","Excento de ","$22.69 ","$50.00 ","$50.00 "
"VOLFEN","Diclofenaco GEL 2.32% 100g ","","Excento de ","$34.60 ","$68.00 ","$68.00 "
"CALAFF","Diclofenaco Gts Pediatricas ","","Excento de ","$39.78 ","$68.00 ","$68.00 "
"DOFLAT ","Diclofenaco suspension 0.18 ","","Excento de ","$46.05 ","$85.00 ","$85.00 "
"VOLF ","Doclofenaco Iny. 75mg/3ml ","","Excento de ","$30.29 ","$50.00 ","$50.00 "
"DOLO-","DOLO-NEUROBION FORTE ","","Excento de ","$201.02 ","$251.00 ","$251.00 "
"FLANAX ","Flanax 550 c/12 tab","","Excento de ","$197.00 ","$247.00 ","$247.00 "
"FLANAX ","Flanax 550mg c/30 ","","Excento de ","$294.50 ","$350.00 ","$350.00 "
"FLANAX ","Flanax CAPS 200MG C/10 ","","Excento de ","$70.00 ","$90.00 ","$90.00 "
"GRANE","Graneodin F 8.75mg pastillas ","","Excento de ","$117.20 ","$130.00 ","$130.00 "
"GRANE","Graneodin F 8.75mg pastillas ","","Excento de ","$95.00 ","$120.00 ","$120.00 "
"CRYOPI","HIOSCINA INYECTABLE ","","Excento de ","$26.65 ","$60.00 ","$60.00 "
"HIOSC","Hioscina TABLETAS 10mg ","","Excento de ","$21.00 ","$38.00 ","$38.00 "
"ESPADI","Hioscina/IBUPROFENO ","","Excento de ","$78.16 ","$170.00 ","$170.00 "
"HIOS","Hioscina/Metamizol ","","Excento de ","$32.50 ","$67.00 ","$67.00 "
"DOLV ","Ibuprofeno 200mg c/10 tab","","Excento de ","$12.60 ","$27.00 ","$27.00 "
"IFENTIL","IBUPROFENO 200MG C/10 ","","Excento de ","$8.37 ","$20.00 ","$20.00 "
"ALGI ","Ibuprofeno 400mg  Gel c/10 ","","Excento de ","$14.46 ","$29.00 ","$29.00 "
"DOLPR","Ibuprofeno 400mg c/10 tab","","Excento de ","$18.41 ","$40.00 ","$40.00 "
"ADOP ","Ibuprofeno 400mg c/10 tab ","","Excento de ","$15.99 ","$32.00 ","$32.00 "
"AFLENO ","IBUPROFENO 400MG C/10 ","","Excento de ","$9.53 ","$23.00 ","$23.00 "
"GELUBR","IBUPROFENO 400MG ","","Excento de ","$16.75 ","$40.00 ","$40.00 "
"DOLPR","Ibuprofeno 600mg c/10 tab ","","Excento de ","$16.78 ","$50.00 ","$50.00 "
